"batch_time","updated_to","ever_since","num_tweets","num_retweets","num_dups"
2016-10-06 15:47:53,2016-10-05 23:59:25,2016-09-26 02:10:47,6833,2380,1682
2016-10-08 18:40:34,2016-10-07 23:58:37,2016-10-06 00:00:41,1880,660,178
