"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 23:36:03,FALSE,NA,"781638702669758464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhatSayYouPod",70,TRUE,FALSE,NA,NA
"RT @JetBlue: “Traveling is what keeps you going. You have much more energy, many stories to tell.” - Zack Orion #LetMusicMoveYou https://t.…",FALSE,0,NA,2016-09-29 23:35:43,FALSE,NA,"781638620583198721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcKamhi1",22,TRUE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 23:35:35,FALSE,NA,"781638584839335936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chris_Laudando",70,TRUE,FALSE,NA,NA
"BOS<U+2708><U+FE0F>PDX @JetBlue #evenmorespace #rowtomyself #vacation",FALSE,0,NA,2016-09-29 23:32:19,FALSE,NA,"781637762390691842",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TorilyeL",0,FALSE,FALSE,NA,NA
"Flight #21 of 2016: @JetBlue @FLLFlyer --&gt; @LASairport w/ @AshleyMaine. #VegasBound #WinnerWinnerChickenDinner https://t.co/g9MYjKAG60",FALSE,3,NA,2016-09-29 23:32:11,FALSE,NA,"781637730589634560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NPappas23",0,FALSE,FALSE,NA,NA
"@JetBlue just make sure Jonathan at the just ask desk in Boston gets a raise because he was the only helpful person!",FALSE,2,"JetBlue",2016-09-29 23:31:39,FALSE,"781601036515602433","781637594018897921","6449282","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bugglyboo21",0,FALSE,FALSE,NA,NA
"@JetBlue for the flight to have been on time it would have had to leave there at 4. You told us of the delay at 6",FALSE,0,"RHornik",2016-09-29 23:30:47,FALSE,"781635426318708736","781637378880466945","778269660","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RHornik",0,FALSE,FALSE,NA,NA
"@Joe_Gatto @Delta @JetBlue @AmericanAir @VirginAmerica @united I'm curious to know who donates?",FALSE,0,"Joe_Gatto",2016-09-29 23:29:05,FALSE,"781544049232715776","781636951145185282","473493882","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arsla",0,FALSE,FALSE,NA,NA
"RT @JLTSpecialtyUSA: We are a proud sponsor of the @JetBlue Swing for Good Golf Classic taking place today. For more information visit http…",FALSE,0,NA,2016-09-29 23:26:28,FALSE,NA,"781636289309310980",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrpjr007",1,TRUE,FALSE,NA,NA
"@jetblue This is not just an inconvenience. I will not be able to pick up my rental car and will have trouble getting to my hotel",FALSE,0,"JetBlue",2016-09-29 23:23:02,FALSE,"781633644494487553","781635426318708736","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RHornik",0,FALSE,FALSE,NA,NA
"@DzLive_ @JetBlue  Fly safe and share lots!",FALSE,1,"DzLive_",2016-09-29 23:20:59,FALSE,NA,"781634911262289920","2305944157","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ladiesrdtable",0,FALSE,FALSE,NA,NA
"For those wondering, they did search his afro at Security. When they realized it was real...polite applause

Love t… https://t.co/rolA42ryfE",FALSE,14,NA,2016-09-29 23:20:53,TRUE,NA,"781634885018456066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Teacloc",2,FALSE,FALSE,NA,NA
"On @JetBlue from JFK-&gt;LA and my seats headset input is broken! 6 hours, I can't even watch TV! All I got was $15 towards my next flight, smh",FALSE,0,NA,2016-09-29 23:20:29,FALSE,NA,"781634786599120896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SteveClair",0,FALSE,FALSE,NA,NA
"And we are off to #TwitchCon @JetBlue you rock! W/ @Teacloc @attackoftheafro https://t.co/gmHBDCzL3R",FALSE,12,NA,2016-09-29 23:18:30,FALSE,NA,"781634284398542848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DzLive_",1,FALSE,FALSE,NA,NA
"@JetBlue 65",FALSE,0,"JetBlue",2016-09-29 23:10:33,FALSE,"781631639847890944","781632284357255168","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RHornik",0,FALSE,FALSE,NA,NA
"@JetBlue good to hear that. Thanks",FALSE,0,"JetBlue",2016-09-29 23:04:49,FALSE,"781630738848485376","781630840543580162","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samarp86",0,FALSE,FALSE,NA,NA
"@JetBlue oh, and if you want your passengers to understand why they have been inconvenienced, how about being transparent about why?",FALSE,0,"RHornik",2016-09-29 23:03:07,FALSE,"781628629079957504","781630412791484416","778269660","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RHornik",0,FALSE,FALSE,NA,NA
"RT @LICPartnership: Thank you @QueensTrib @MelindaKatz honoring @MMViverito @TeatroThalia @QC_News with @JetBlue @AstoriaBank https://t.co/…",FALSE,0,NA,2016-09-29 23:02:14,FALSE,NA,"781630193333051392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MelindaKatz",1,TRUE,FALSE,NA,NA
"Thank you @QueensTrib @MelindaKatz honoring @MMViverito @TeatroThalia @QC_News with @JetBlue @AstoriaBank https://t.co/8b59iA37F0",FALSE,4,NA,2016-09-29 23:01:45,FALSE,NA,"781630069785653248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LICPartnership",1,FALSE,FALSE,NA,NA
"We are looking forward to having @JetBlue on campus for #ERAUExpo16 1 wk. from today! Learn more about JetBlue here: https://t.co/lVyNLtJH1L",FALSE,1,NA,2016-09-29 23:01:31,FALSE,NA,"781630012508237824",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ERAU_CareerSvcs",0,FALSE,FALSE,NA,NA
"@JetBlue B61445 BOS-CLT 9/29",FALSE,0,"JetBlue",2016-09-29 23:00:12,FALSE,"781614646692290560","781629681489633280","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoganSeth",0,FALSE,FALSE,NA,NA
"k @JetBlue you officially suck for only letting us know an hour before take off that the flight was cancelled .",FALSE,2,NA,2016-09-29 22:58:37,FALSE,NA,"781629283798093826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalaemgee",0,FALSE,FALSE,NA,NA
"@JetBlue Any idea why 122 from West palm to Boston delayed by 23 minutes?",FALSE,0,"JetBlue",2016-09-29 22:58:04,FALSE,NA,"781629145835069441","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samarp86",0,FALSE,FALSE,NA,NA
"@EtihadAirways  #poor customer service FYI @AmericanAir @JetBlue  poor alliance",FALSE,0,"EtihadAirways",2016-09-29 22:57:37,FALSE,NA,"781629030760087552","45621423","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dinozzo1947",0,FALSE,FALSE,NA,NA
"I love the way airlines tell you your flight is 90 mins late 90 mins before departure And then tell you how hard they work. Thanks @JetBlue",FALSE,0,NA,2016-09-29 22:56:01,FALSE,NA,"781628629079957504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RHornik",0,FALSE,FALSE,NA,NA
"@_sLh86 Post your @JetBlue Complaint on https://t.co/nbrmiHdxgA to hold them accountable and get results. #AirlineComplaints",FALSE,0,"_sLh86",2016-09-29 22:54:02,FALSE,NA,"781628127915147264","354998166","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AirComplaints",0,FALSE,FALSE,NA,NA
"@scottsalesforce My @JetBlue flight this evening is also delayed. By 2.5 hours.",FALSE,0,"scottsalesforce",2016-09-29 22:45:11,FALSE,"781624795498766336","781625903055011841","2203780428","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","_MattWelch_",0,FALSE,FALSE,NA,NA
"Flying @JetBlue tomorrow to catch the @RedSox game and see David play one last time! #ThanksPapi",FALSE,1,NA,2016-09-29 22:44:15,FALSE,NA,"781625668228513792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AaronKerkvliet",0,FALSE,FALSE,NA,NA
"Just realized tweeting about not tweeting about my flight delay makes me a flight delay tweeter. I need to do better, and so does @JetBlue",FALSE,1,NA,2016-09-29 22:40:47,FALSE,NA,"781624795498766336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scottsalesforce",0,FALSE,FALSE,NA,NA
"This was my reaction when they announce to not plug in any Note 7 phone son my @JetBlue flight https://t.co/15Y1usCD4U",FALSE,1,NA,2016-09-29 22:40:36,FALSE,NA,"781624747356545024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taz8080",0,FALSE,FALSE,NA,NA
"Why is it that no matter what @jetblue terminal I am in, they are playing Nirvana? #LeavingOnAJetPlane #SeeYaLaterNYC",FALSE,2,NA,2016-09-29 22:39:10,FALSE,NA,"781624388852457472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MissTVotes",0,FALSE,FALSE,NA,NA
"Just enjoying our ""third world country of an airport"" here in the @JetBlue terminal in boston good call… https://t.co/m8A3Ho5egH",FALSE,3,NA,2016-09-29 22:35:58,TRUE,NA,"781623580589166592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LAAG_Fashion",0,FALSE,FALSE,NA,NA
"I'll also be missing @TheFrontBottoms, @FRabbits, @ColdWarKids, @bandofhorses. Thanks, @JetBlue!!!!!!!!!!!!!",FALSE,1,"shmadison",2016-09-29 22:30:24,FALSE,"781619392954060800","781622180891140097","60741476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shmadison",0,FALSE,FALSE,NA,NA
"@JetBlue My flight was delayed. I was not notified of this until I arrived at my gate.",FALSE,1,"JetBlue",2016-09-29 22:30:22,FALSE,NA,"781622173232402434","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amsel_dani",0,FALSE,FALSE,NA,NA
